"Livsmedelsverkets livsmedelsdatabas version 2023-06-13";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Näringsinnehåll per 100 gram livsmedel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Livsmedelsnamn";"Livsmedelsnummer";"Gruppering";"Energi (kcal)";"Energi (kJ)";"Fett, totalt (g)";"Protein (g)";"Kolhydrater, tillgängliga (g)";"Fibrer (g)";"Vatten (g)";"Alkohol (g)";"Aska (g)";"Sockerarter, totalt (g)";"Monosackarider (g)";"Disackarider (g)";"Tillsatt socker (g)";"Fritt socker (g)";"Fullkorn totalt (g)";"Summa mättade fettsyror (g)";"Fettsyra 4:0-10:0 (g)";"Laurinsyra C12:0 (g)";"Myristinsyra C14:0 (g)";"Palmitinsyra C16:0 (g)";"Stearinsyra C18:0 (g)";"Arakidinsyra C20:0 (g)";"Summa enkelomättade fettsyror (g)";"Palmitoljesyra C16:1 (g)";"Oljesyra C18:1 (g)";"Summa fleromättade fettsyror (g)";"Linolsyra C18:2 (g)";"Linolensyra C18:3 (g)";"Arakidonsyra C20:4 (g)";"EPA (C20:5) (g)";"DPA (C22:5) (g)";"DHA (C22:6) (g)";"Kolesterol (mg)";"Vitamin A (RE/µg)";"Retinol (µg)";"Betakaroten/β-Karoten (µg)";"Vitamin D (µg)";"Vitamin E (mg)";"Vitamin K (µg)";"Tiamin (mg)";"Riboflavin (mg)";"Niacin (mg)";"Niacinekvivalenter (NE/mg)";"Vitamin B6 (mg)";"Folat (µg)";"Vitamin B12 (µg)";"Vitamin C (mg)";"Fosfor, P (mg)";"Jod, I (µg)";"Järn, Fe (mg)";"Kalcium, Ca (mg)";"Kalium, K (mg)";"Magnesium, Mg (mg)";"Natrium, Na (mg)";"Salt, NaCl (g)";"Selen, Se (µg)";"Zink, Zn (mg)";"Avfall (skal etc.) (%)"
"Makrill filé i olja konserv.";1283;"Fisk, skaldjur";324;1357;28;18.9;0;0;51.9;0;1.2;0;0;0;0;0;0;6;0;0;1.8;3.4;0.6;0;11.4;1.2;3;7.7;0.5;0.5;0.1;1.6;0.2;2.7;75;40;40;0;2.8;0.9;;0.06;0.16;5;8.47;0.6;1;9;0;150;8;1.1;15;320;20;260;0.6;19.9;0.5;0
"Saltsill urvattnad konserv.";1284;"Fisk, skaldjur";208;872;16;16.5;0;0;65;0;2.5;0;0;0;0;0;0;3.6;0;0;1.1;2.2;0.1;0;6.6;0.9;2;4.1;0.4;0.3;0.1;0.9;0.1;1.4;80;10;10;0;5;1;;0.03;0.17;2.5;5.53;0.12;5;5.2;0;54;41.5;0.9;18;52;12;960;2.4;22;0.7;0
"Lax gravad";1285;"Fisk, skaldjur";166;694;8.7;18.8;3.1;0;65.1;0;4.3;1.3;0;1.3;1;1;0;1.2;0;0;0.2;0.8;0.2;0;4.1;0.2;3.4;2.6;1.1;0.5;0.1;0.2;0.1;0.4;59.1;5.6;3.1;30;6.18;3.7;8.3;0.26;0.1;7.48;10.6;0.55;5.9;4.89;0;214;32;0.2;10;317;24;1150;2.9;15.1;0.3;10
"Lax rimmad";1286;"Fisk, skaldjur";148;619;8.1;18.8;0;0;67.8;0;5.3;1.5;0;1.5;2;2;0;1.7;0;0;0.2;1.2;0.2;0;3.4;0.7;2.4;2.2;0.3;0.1;0.1;0.3;0.2;0.9;70;30;30;0;13;2.2;;0.18;0.08;6;9.45;0.78;26;5;0;184;12;0.3;19;250;24;1760;4.4;26;0.4;10
"Böckling dubbelfilé varmrökt";1287;"Fisk, skaldjur";261;1093;20.8;19;0;0;57.9;0;2.3;0;0;0;0;0;0;6.1;0;0;1.7;4.1;0.2;0;6.4;1.4;4.5;6.2;1.5;0.9;0.2;1;0;1.2;97.2;21;21;0;19.1;2.5;;0;0.32;4;7.48;0.3;5.4;15;0;192;59;1.2;34;307;31;583;1.5;20.1;1.3;12
"Lax varmrökt urtagen";1288;"Fisk, skaldjur";220;921;14.8;21.9;0.1;0;60.5;0;2.7;0;0;0;0;0;0;2;0;0;0.3;1.3;0.3;0;7;0.4;5.8;4.3;1.9;0.8;0.1;0.3;0.2;0.6;65.9;3.8;3.8;0;9.04;5.2;11.5;0.26;0.1;8.54;12.2;0.54;8.7;4.74;0;235;19.9;0.2;10;341;26;643;1.6;21.6;0.4;25
"Makrill filé varmrökt";1289;"Fisk, skaldjur";327;1367;27.7;20.1;0;0;49.3;0;2.9;0;0;0;0;0;0;6;0;0;1.8;3.3;0.6;0;11.3;1.2;3;7.6;0.5;0.5;0.1;1.6;0.2;2.7;92.8;79;79;0;6.3;1.5;;0.15;0.46;8.2;11.89;0.35;3.9;2.9;0;354;20;1.5;23;307;32;803;2;29;0.9;7
"Regnbågslax kallrökt";1290;"Fisk, skaldjur";190;794;12.1;20.4;0;0;63.6;0;3.9;0;0;0;0;0;0;2.8;0;0;0.4;1.9;0.4;0;3.6;0.7;2.2;4.6;0.5;0.2;0.1;0.8;0.2;2.2;59.3;72;72;0;3.8;1.7;;0.15;0.1;6.3;10.04;0.4;6.6;4.2;0;264;40;0.2;18;345;27;1160;2.9;28;0.4;24
"Regnbågslax urtagen varmrökt";1291;"Fisk, skaldjur";157;656;7.7;21.9;0;0;67.5;0;2.9;0;0;0;0;0;0;1.8;0;0;0.2;1.2;0.3;0;2.2;0.5;1.4;2.9;0.3;0.1;0.1;0.5;0.1;1.4;56.6;19;19;0;7.4;1.1;;0.21;0.15;4.5;8.52;0.29;5.4;3.3;0;252;40;0.4;27;220;26;877;2.2;26.8;0.5;35
"Röding urtagen varmrökt";1292;"Fisk, skaldjur";163;682;8.6;21.4;0;0;67.2;0;2.8;0;0;0;0;0;0;1.7;0;0;0.3;1.1;0.2;0;2.8;0.9;1.7;3.2;0.4;0.5;0.2;0.6;0.3;0.7;57;41;41;0;8.2;1.9;;0.08;0.1;4.1;8.02;0.36;5.5;3.2;0;243;20;0.3;20;251;26;823;2.1;27;0.5;32
"Ål varmrökt flatrökt";1293;"Fisk, skaldjur";428;1790;40.2;17.8;0;0;38;0;4;0;0;0;0;0;0;9.6;0;0;1;6.7;1.6;0;17.6;3.5;13.4;9;0.8;0.3;0.9;1.7;1.4;2.4;147.4;3600;3600;0;98;14.1;;0.12;0.18;3.5;6.76;0.22;7.1;4.8;0;205;60;0.5;35;190;12;1260;3.2;66.7;3;20
"Fiskpinnar stekta";1294;"Fisk, skaldjur";223;932;12.1;11.7;16.8;0;57.8;0;1.6;1.2;0.2;1;0;0;0;1.1;0;0;0;0.6;0.3;0.1;5.7;0;5.5;4.1;3.1;0.8;0;0.1;0;0.1;29.5;54.3;50.4;40;0.87;3.8;8.1;0.09;0.07;1.17;3.3;0.07;9.4;1.25;0;140;34;0.3;19;225;28;452;1.1;13;0.5;0
"Makrill filé i tomatsås konserv.";1296;"Pålägg";186;779;13.9;11.7;3.9;0;68.3;0;2.2;3.2;3;0.2;0;0;0;2.6;0;0;0.7;1.4;0.3;0;5.6;0.4;2.1;4;0.5;0.4;0.2;0.7;0.2;1.3;39.7;35.9;22.5;161;1.36;2.3;5.1;0.04;0.2;5.85;8;0.29;19;5.38;0;141;36;0.8;24;423;32;368;0.9;19.9;0.9;0
"Surströmming";1297;"Fisk, skaldjur";82;344;3.9;11.8;0;0;75.9;0;9.6;0;0;0;0;0;0;0.6;0;0;0.1;0.5;0;0;1.1;0.3;0.7;0.9;0.2;0;0;0.1;0;0.2;82.2;6;6;0;5.9;4.2;1.6;0;0.16;1.33;3.5;0.06;19;4.49;0;159;17;0.7;89;159;11;3523;8.8;10.8;1.8;42
"Lutfisk kokt";1298;"Fisk, skaldjur";28;118;0.5;5.9;0;0;93;0;0.6;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0.1;0;0;0.2;0;0;0;0;0;0.1;25.9;0;0;0;0.12;0.1;0;0;0;0;1.1;0;0;0;0;24;2;0.2;129;4;12;30;0.1;12.3;0.2;20
"Saltsill panerad stekt hemlagad";1299;"Fisk, skaldjur";289;1210;24.2;14.1;4;0.9;52;0;4.8;0.2;0;0.2;0;0;0;6.3;0.1;0.2;1.5;3.4;0.7;0;10.8;1.1;4.6;5.5;1.1;0.5;0.1;1;0.1;1.7;87;87.2;87;3;5.4;2.5;;0.04;0.23;4.66;7.25;0.37;7.9;10.8;0;92;12.4;1.2;88;55;40;1220;3;21.8;1.6;0
"Strömmingsflundra panerad stekt hemlagad";1300;"Fisk, skaldjur";249;1041;19.2;15.2;4.1;0.3;59;0;2.2;0;0;0;0;0;0;5.8;0.1;0.4;1;3.2;1;0.1;7.1;0.7;5.8;4.8;1.7;0.6;0;0.6;0;0.9;85;90;90;0;11.2;3;;0.06;0.26;3.9;6.69;0.24;7.3;9;0;215;66.2;1.1;38;340;17;520;1.3;16.3;1.3;0
"Torsk filé panerad stekt hemlagad";1301;"Fisk, skaldjur";143;600;6;17.6;4.5;0.3;69;0;2.6;0.1;0.1;0;0;0;0;1.9;0.1;0.2;0.2;0.9;0.6;0;2.4;0.1;2.2;1.2;0.6;0.1;0;0;0;0.2;88;66;66;0;1.35;1.5;;0.05;0.15;2.2;5.43;0.23;17;0.9;0.5;220;34;0.8;16;405;32;620;1.6;26;0.5;0
"Ål inkokt hemlagad";1302;"Fisk, skaldjur";382;1601;36;15.8;0;0;47.2;0;1;0;0;0;0;0;0;8.6;0;0;0.9;6;1.4;0;15.7;3.1;12;8.1;0.7;0.3;0.8;1.5;1.2;2.1;140;3400;3400;0;40;19.3;;0.05;0.2;1.7;4.6;0.21;18;5.6;0;110;60;0.7;36;119;10;186;0.5;63;3.2;13
"Ål ugnsstekt hemlagad";1303;"Fisk, skaldjur";437;1827;40.5;16.1;3.2;0;38;0;2.2;0;0;0;0;0;0;10.1;0;0.2;1.1;6.7;1.8;0;17.7;3.3;13.8;8.8;1.2;0.4;0.8;1.5;1.2;2.2;140;3500;3500;0;35;38;;0.15;0.34;2.7;5.65;0.21;17;5.6;0;181;60;1.1;44;220;15;490;1.2;60;3.6;13
"Abborre kokt m. salt";1304;"Fisk, skaldjur";140;585;1;32.3;0;0;64.1;0;2.6;0;0;0;0;0;0;0.2;0;0;0;0.1;0;0;0.2;0;0.1;0.3;0;0;0;0;0;0.2;126.9;25.1;25.1;0;27.92;1.2;;0.18;0.13;8.56;14.51;0.53;16.1;3.7;0;358;63.9;0.4;27;476;44;456;1.2;71.9;0.8;60
"Abborre filé panerad stekt";1305;"Fisk, skaldjur";195;816;8.8;22.3;6.3;0.5;59.5;0;2.5;0.3;0.1;0.2;0;0;1;1.1;0;0;0;0.7;0.2;0;4.6;0.1;4.4;2.5;1.7;0.5;0;0;0;0.1;111.4;48.4;47.6;9;19.21;3.2;;0.14;0.14;5.49;9.65;0.4;18.8;2.1;0.1;255;77.4;0.5;27;371;32;594;1.5;47.9;0.7;48
"Fisk friterad";1306;"Fisk, skaldjur";212;889;11.3;15.5;12;0.6;58.9;0.02;2.1;0.4;0.1;0.3;0;0;0;1.4;0;0;0.1;1;0.3;0;3.9;0.1;3.5;5.1;4.3;0.3;0;0.1;0;0.2;37.6;4.9;4.8;1;2.76;4.6;;0.14;0.07;3.85;6.58;0.17;8;1.5;1.5;176;105.9;0.2;14;243;24;499;1.3;17.5;0.4;18
"Regnbågslax inkokt m. salt";1308;"Fisk, skaldjur";191;800;11.5;22.2;0;0;64;0;2.4;0;0;0;0;0;0;2.6;0;0;0.3;1.8;0.4;0;3.4;0.7;2.1;4.3;0.5;0.2;0.1;0.7;0.2;2.1;65.6;35.8;35.8;0;12.98;2.3;;0.07;0.17;10.02;14.09;0.58;26.4;3.88;0;293;54.3;0.5;84;376;30;429;1;31;0.5;38
"Regnbågslax panerad stekt";1309;"Fisk, skaldjur";230;964;14.6;19.1;5.7;0.5;57.6;0;2.5;0.3;0.1;0.2;0;0;1;2.5;0;0;0.2;1.7;0.4;0;6.2;0.5;5.2;4.7;1.9;0.6;0.1;0.4;0.1;1.3;69.6;57.4;56.7;8;11.26;4;;0.08;0.2;7.9;11.46;0.53;27.8;2.67;0.1;256;68.9;0.6;74;361;28;557;1.4;26.6;0.6;31
"Gädda kokt m. salt";1310;"Fisk, skaldjur";137;574;0.4;32.9;0;0;63.7;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0.1;76;0;0;0;6.91;0.8;;0.06;0.05;4.91;10.9;0.34;13.8;1.87;0;389;70.2;0.3;79;565;48;472;1.2;32;1.3;47
"Gädda panerad stekt";1311;"Fisk, skaldjur";193;809;8.4;22.6;6.3;0.5;59.2;0;2.8;0.3;0.1;0.2;0;0;1;1;0;0;0;0.7;0.2;0;4.5;0.1;4.3;2.4;1.7;0.5;0;0;0;0.1;79.4;32.6;31.8;9;5.19;2.9;;0.06;0.08;3.2;7.39;0.26;17.5;1.13;0.1;275;81.4;0.5;59;435;35;605;1.5;22.8;1;38
"Hälleflundra kokt m. salt";1312;"Fisk, skaldjur";168;702;10.3;18.8;0;0;69;0;2;0;0;0;0;0;0;1.6;0;0;0.3;1;0.2;0;6.1;1.1;2.6;1.3;0.1;0;0.1;0.4;0.1;0.5;60.5;16.3;16.3;0;9.1;3.1;;0.03;0.05;3.51;6.9;0.23;3.6;0.57;0;220;48;0.2;7;356;25;389;1;72.6;0.4;20
"Hälleflundra panerad stekt";1313;"Fisk, skaldjur";214;893;13.9;16.3;5.7;0.5;61.2;0;2.3;0.3;0.1;0.2;0;0;1;1.9;0;0;0.2;1.2;0.3;0;7.8;0.7;5.6;2.9;1.6;0.5;0.1;0.3;0.1;0.3;66.3;42.4;41.7;8;8;4.6;;0.04;0.08;2.81;5.82;0.22;11.1;0.49;0.1;198;71.2;0.4;14;341;24;582;1.5;58.6;0.5;17
"Kolja kokt m. salt";1314;"Fisk, skaldjur";130;542;0;31.9;0;0;65.7;0;2.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99.6;0;0;0;1.95;0.7;;0.06;0.05;8.3;13.67;0.4;16.1;1.85;0;328;235.8;0.2;12;646;43;482;1.2;49.1;0.5;52
"Kolja panerad stekt m. salt";1315;"Fisk, skaldjur";189;789;8.2;21.9;6.3;0.6;60.5;0;2.7;0.3;0.1;0.2;0;0;1;1;0;0;0;0.6;0.2;0;4.5;0;4.4;2.3;1.7;0.5;0;0;0;0;94;32.8;32;9;1.87;2.9;;0.06;0.08;5.29;9.08;0.3;18.8;1.11;0.1;236;184.8;0.4;17;490;31;610;1.5;33.4;0.5;42
"Lax stekt m. salt";1316;"Fisk, skaldjur";221;925;13.5;24.1;0.8;0;59.5;0;2;0;0;0;0;0;0;1.8;0;0;0.2;1.1;0.3;0;6.4;0.3;5.2;3.9;1.7;0.8;0.1;0.3;0.1;0.6;61.1;4.4;4.4;0;7.49;5.5;;0.27;0.08;9.6;13.63;0.6;5.1;3.45;0;281;51.1;0.2;7;360;32;285;0.7;20.1;0.4;35
"Lax kokt m. salt";1317;"Fisk, skaldjur";246;1029;16.6;23.7;0.8;0;56.8;0;2.1;0;0;0;0;0;0;2.2;0;0;0.3;1.4;0.4;0;7.9;0.4;6.4;4.8;2.1;0.9;0.2;0.4;0.2;0.7;74.9;4.3;4.3;0;6.91;5.4;;0.25;0.06;9.41;13.36;0.52;5.3;4;0;275;56.8;0.2;7;311;31;333;0.8;19.7;0.4;35
"Makrill kokt m. salt";1318;"Fisk, skaldjur";332;1389;28.6;19.4;0;0;47.8;0;1.9;0;0;0;0;0;0;6.1;0;0;1.8;3.4;0.6;0;10.4;1;3.3;8.3;0.4;0.4;0.4;2;0.4;3.2;55.8;17.2;17.2;0;4.94;0.5;;0.09;0.22;9.49;13.04;0.49;0;5.5;0;222;107.7;0.9;18;315;28;332;0.8;68.6;0.7;41
"Makrill panerad stekt";1319;"Fisk, skaldjur";324;1358;25.9;17.5;5.7;0.5;46.2;0;2.3;0.3;0.1;0.2;0;0;1;4.8;0;0;1.2;2.8;0.6;0.1;10.8;0.7;6.1;7.4;1.8;0.7;0.3;1.3;0.3;2.1;64.7;43.4;42.6;8;4.77;2.6;;0.09;0.27;7.78;11.04;0.47;8.4;3.88;0.1;208;120.9;1;23;318;27;547;1.4;58;0.8;33
"Makrill stekt m. salt";1320;"Fisk, skaldjur";295;1234;24;20.4;0;0;51.4;0;1.8;0;0;0;0;0;0;5.1;0;0;1.5;2.8;0.5;0;8.7;0.8;2.8;6.9;0.3;0.3;0.3;1.7;0.3;2.7;46.8;18;18;0;5.5;0.5;;0.1;0.3;9.95;13.67;0.59;0;4.88;0;233;106;1;19;374;29;293;0.7;71.9;0.7;41
"Piggvar kokt m. salt";1321;"Fisk, skaldjur";137;574;2.8;27.6;0;0;66.5;0;3;0;0;0;0;0;0;0.6;0;0;0.1;0.4;0;0;0.7;0.1;0.3;1.4;0.1;0.1;0;0.3;0.1;0.1;82.7;23.2;23.2;0;2.7;1.3;;0.02;0.17;4.96;10.03;0.25;15.5;1.08;0;264;109.5;0.8;30;360;75;597;1.5;41.4;0.3;51
"Rödspätta filé kokt m. salt";1322;"Fisk, skaldjur";147;615;1;34;0;0;62.1;0;2.9;0;0;0;0;0;0;0.2;0;0;0;0.1;0;0;0.2;0;0.1;0.3;0;0;0;0.1;0;0.1;90;0;0;0;2.54;0.7;;0.43;0.09;8.76;14.98;0.32;16.3;0.73;0;299;101.8;0.1;21;498;39;559;1.3;46.7;0.7;49
"Rödspätta filé panerad stekt m. salt";1323;"Fisk, skaldjur";199;836;8.8;23.5;6.3;0.5;58.2;0;2.7;0.3;0.1;0.2;0;0;1;1.1;0;0;0;0.7;0.2;0;4.6;0.1;4.4;2.4;1.7;0.5;0;0.1;0;0.1;88.4;32.4;31.7;9;2.28;2.8;;0.31;0.12;5.65;10.01;0.25;19;0.52;0.1;219;101.5;0.3;23;389;30;660;1.6;32.2;0.6;40
"Rödspätta filé stekt m. salt";1324;"Fisk, skaldjur";124;520;0.8;28.7;0;0;68.1;0;2.3;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0.1;0;0.1;0.3;0;0;0;0.1;0;0.1;76;0;0;0;2.28;0.6;;0.39;0.1;7.4;12.65;0.31;12.9;0.52;0;252;78.1;0.1;18;477;33;410;1;39.4;0.6;49
"Sik kokt m. salt";1325;"Fisk, skaldjur";145;611;1;33.7;0;0;62.3;0;3.1;0;0;0;0;0;0;0.2;0;0;0;0.1;0;0;0.2;0.1;0.1;0.3;0;0;0;0.1;0;0.2;76.3;0;0;0;10.32;0.7;;0.12;0.06;10.03;16.12;0.58;14.7;3.37;0;401;68;0.4;21;587;46;466;1.2;40.1;0.6;40
"Sik panerad stekt";1326;"Fisk, skaldjur";198;833;8.8;23.3;6.3;0.5;58.3;0;2.8;0.3;0.1;0.2;0;0;1;1.1;0;0;0;0.7;0.2;0;4.6;0.1;4.4;2.4;1.7;0.5;0;0;0;0.1;79.7;32.4;31.7;9;7.5;2.9;;0.1;0.09;6.45;10.73;0.43;18;1.93;0.1;284;80.1;0.5;23;452;34;601;1.5;28.1;0.6;33
"Saltsill kokt";1327;"Fisk, skaldjur";246;1033;19;19.5;0;0;58.5;0;3;0;0;0;0;0;0;4.3;0;0;1.3;2.6;0.2;0;7.9;1.1;2.4;4.9;0.4;0.3;0.1;1.1;0.1;1.7;94.8;11.8;11.8;0;4.74;1.2;;0.03;0.14;2.96;6.55;0.1;5;4;0;64;49.2;1.1;21;46;14;1137;2.8;26.1;0.8;0
"Sill panerad stekt m. salt";1328;"Fisk, skaldjur";219;912;13.7;17.4;6;1;56.3;0;4.2;0.2;0.1;0.1;0;0;5;2.2;0;0;0.5;1.3;0.2;0;6.6;0.3;4.2;3.8;1.6;0.6;0.1;0.3;0.1;0.7;45.2;16.2;15.5;8;5.12;2.4;;0.02;0.19;5;8.16;0.25;12.9;4.79;0.1;296;156.8;0.8;62;311;43;1133;2.8;25.4;1.6;25
"Strömming kokt m. salt";1329;"Fisk, skaldjur";131;549;4.9;21.8;0;0;69.8;0;2.8;0;0;0;0;0;0;1.2;0;0;0.3;0.8;0.1;0;1.6;0.2;0.9;1.5;0.2;0.1;0;0.3;0;0.6;89.2;20.5;20.5;0;7.95;1;;0.01;0.14;4.58;8.55;0.2;18.1;7.33;0;336;73.6;1;89;373;40;380;0.9;31.2;2.1;42
"Ättikströmming";1331;"Fisk, skaldjur";220;919;15.2;12.2;8.4;0.5;61.4;0;2.3;4.3;0.4;3.9;4;4;0;4.6;0.1;0.3;0.8;2.5;0.8;0.1;5.6;0.5;4.6;3.8;1.4;0.5;0;0.5;0;0.7;67.4;71.4;71.4;0;8.88;2.4;;0.05;0.21;3.11;5.35;0.21;8.8;7.14;1.1;175;75.9;0.9;34;294;15;596;1.5;12.9;1;1
"Kräftströmming";1332;"Rätter";104;436;3.7;16.5;1;0.4;74;0;3.8;1;1;0;0;0;0;0.9;0;0;0.2;0.6;0.1;0;1.2;0.2;0.7;1.2;0.2;0.1;0;0.2;0;0.5;66.5;25.2;15.3;119;5.92;1.2;;0.02;0.11;3.68;6.68;0.17;18.4;5.46;2.3;259;;0.9;73;341;34;902;2.3;23.2;1.6;31
"Strömming filé stekt m. salt";1333;"Fisk, skaldjur";122;510;3.9;21.6;0;0;71.1;0;2.6;0;0;0;0;0;0;1;0;0;0.2;0.7;0.1;0;1.3;0.2;0.7;1.2;0.1;0.1;0;0.3;0;0.5;70.8;20.3;20.3;0;8.38;1;;0.01;0.18;4.55;8.49;0.22;17;6.16;0;334;66.2;1;88;419;39;322;0.8;30.9;2.1;42
"Tonfisk stekt m. salt";1334;"Fisk, skaldjur";154;644;4.7;27.7;0;0;65.6;0;2;0;0;0;0;0;0;1.2;0;0;0.1;0.8;0.3;0;1.5;0.2;0.9;1.4;0;0;0;0.3;0.1;0.8;36.2;779.8;779.8;0;4.55;1.2;;0.23;0.27;10.3;15.38;0.44;1.8;6.17;0;303;61.3;1.2;10;255;60;286;0.7;43.5;0.7;40
"Torsk filé kokt m. salt";1335;"Fisk, skaldjur";130;546;0.8;30.3;0;0;67.4;0;2.9;0;0;0;0;0;0;0.2;0;0;0;0.1;0;0;0;0;0.1;0.3;0;0;0;0;0;0.2;80.5;3.8;3.8;0;2.45;1.1;;0.06;0.06;3.59;9.15;0.17;19.8;1.52;0;362;351.2;0.2;22;502;45;509;1.4;45.4;1;34
"Torsk panerad stekt";1336;"Fisk, skaldjur";189;792;8.8;20.8;6.3;0.6;61.6;0;2.7;0.3;0.1;0.2;0;0;1;1.1;0;0;0;0.7;0.2;0;4.5;0.1;4.4;2.5;1.7;0.5;0;0;0;0.2;81.9;35.3;34.5;9;2.2;3.1;;0.06;0.09;2.34;6.23;0.14;21;0.93;0.1;255;255.8;0.4;23;386;33;627;1.6;30.9;0.8;28
"Torsk stekt";1337;"Fisk, skaldjur";108;455;0.7;25.2;0;0;73;0;2.2;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0;0;0.1;0.3;0;0;0;0;0;0.2;67.1;3.2;3.2;0;2.17;0.9;;0.05;0.06;2.99;7.62;0.16;15.5;1.07;0;301;284.7;0.2;18;474;38;361;1;37.8;0.8;34
"Vitling kokt m. salt";1338;"Fisk, skaldjur";132;549;1;30.2;0;0;65.8;0;3;0;0;0;0;0;0;0.1;0;0;0;0.1;0;0;0.3;0;0.1;0.2;0;0;0;0.1;0;0.1;82.4;4.9;4.9;0;0.92;0.4;;0.06;0.06;3.3;8.83;0.21;16.8;0.86;0;302;509.6;0.5;84;458;40;489;1.2;41.2;0.8;52
"Vitling filé panerad stekt";1339;"Fisk, skaldjur";190;794;8.9;20.8;6.3;0.6;60.6;0;2.8;0.3;0.1;0.2;0;0;1;1.1;0;0;0;0.7;0.2;0;4.7;0.1;4.4;2.4;1.7;0.5;0;0;0;0.1;83.3;35.9;35.1;9;1.19;2.7;;0.06;0.09;2.17;6.06;0.17;19.3;0.58;0.1;219;355.7;0.6;62;356;30;615;1.5;28.4;0.7;42
"Fisk varmrökt";1340;"Fisk, skaldjur";226;944;15.5;21.7;0.1;0;60;0;2.7;0;0;0;0;0;0;2.3;0;0;0.4;1.4;0.3;0;7.2;0.4;5.5;4.5;1.8;0.8;0.1;0.4;0.2;0.8;68.3;10.6;10.6;0;8.61;4.8;;0.25;0.12;8.46;12.12;0.52;8.8;5.57;0;242;19.8;0.3;12;337;26;641;1.6;22;0.4;25
"Fiskbullar konserv. u. buljong";1344;"Rätter";72;300;2.3;6.9;5.8;0;83.6;0;1.4;0.3;0;0.3;0;0;0;0.3;0;0;0;0.2;0;0;0.9;0;0.8;0.4;0.2;0.1;0;0;0;0;25.3;1.4;1.4;0;0.14;0.7;2.6;0;0;0.44;1.6;0;1.6;0.32;0;42;35.6;0.1;16;62;7;504;1.3;10.4;0.2;0
"Fiskbullar m. hummersås konserv. tillagad";1345;"Rätter";88;369;4.4;4.8;7.4;0;82;0;1.4;0.6;0;0.6;0;0;0;0.6;0;0;0.1;0.3;0.1;0;1.6;0;1.5;0.8;0.5;0.3;0;0;0;0;22.9;18.9;16.7;22;0.19;0.9;4.5;0;0.05;0.63;1.5;0.02;2;0.3;0;57;28;0.1;28;86;9;492;1.2;9.3;0.3;0
"Laxpastej lättrökt";1346;"Pålägg";355;1484;30;12;10;0;40;0;8;3.6;0;3.6;4;4;0;2;0;0;0.1;1.3;0.4;0.2;16.2;0.3;14.4;8.8;5.4;3.1;0;0.1;0;0.2;18;100;100;0;1.5;5.5;;0.33;0.46;0.8;3;0.1;10;4;0;330;2.6;1;43;100;15;2000;5;10;3;0
"Böcklingpastej";1347;"Pålägg";364;1521;31;13;9;0;39;0;8;2.1;0;2.1;2;2;0;4;0;0;0.4;2.6;0.7;0.1;12;0.4;10.7;12.5;9.3;2.7;0;0.2;0;0.2;18;100;100;0;1.5;5.5;;0.33;0.46;0.8;3.18;0.1;3;4;0;330;18.2;1;43;100;15;2000;5;10;3;0
"Fiskpudding m. ris hemlagad";1348;"Rätter";114;478;5.6;11.4;4.5;0.1;76.5;0;1.9;1;0;1;0;0;0;2.7;0.3;0.1;0.3;1.3;0.5;0;1.8;0.1;1.5;0.5;0.3;0;0;0;0;0.1;53;36.1;35;13;0.47;0.1;;0.08;0.12;1.7;3.79;0.24;13;0.5;0.2;167;23;0.4;60;260;20;425;1.1;10;0.6;0
"Fiskgratäng u. potatismos hemlagad";1349;"Rätter";114;478;5.6;11.4;4.5;0.1;76.5;0;1.9;0.2;0;0.2;0;0;0;2.2;0.2;0.2;0.2;1;0.5;0;2.1;0.1;1.8;0.8;0.5;0.1;0;0;0;0.1;81;60.9;58;35;0.96;0.1;;0.08;0.12;1.7;3.79;0.24;12;0.8;0;167;79.6;0.4;60;260;20;425;1.1;14;0.6;0
"Böcklinglåda m. äggstanning";1350;"Rätter";158;662;9.8;15.3;2.1;0.2;69.7;0;2.8;1.9;0.3;1.5;0;0;0;3.2;0.1;0;0.7;2;0.2;0;3.1;0.6;2.4;2.5;0.7;0.3;0.1;0.4;0;0.5;108.2;75;74.4;7;5.56;1;;0.02;0.22;2.55;5.54;0.12;21.7;4.92;0.6;166;43.6;1;69;260;23;720;1.8;14.9;0.9;23
"Fiskbullar panerade stekta";1351;"Rätter";164;685;10.5;5.7;11.5;0.5;69.3;0;2.4;0.8;0.1;0.7;0;0;1;1.3;0.1;0;0.1;0.8;0.3;0;5.1;0.1;4.9;2.5;1.9;0.6;0;0;0;0;45.7;43.1;40.6;26;0.61;2.8;;0.02;0.07;0.63;1.72;0.03;9.1;0.25;0.1;74;81.2;0.3;32;89;12;883;2.2;10.1;0.5;1
